record_id,provider,product,plan,role,displayed_price,price_basis,included_allowance,documented_rate_limit,streaming,documented_payment_mode,accepted_asset_or_rail,term_or_renewal,evidence_state,as_of,official_url,initial_decision,purchase_now,notes
"COST-SOLANA-001","Solana Foundation","Public RPC endpoints","Shared public endpoint","Protocol interface/reference","$0","usage","Shared public infrastructure","Rate limited; no production SLA","Standard RPC/WebSocket interface","not_applicable","not_applicable","not_applicable","official_docs","2026-07-18","https://solana.com/docs/references/clusters","REFERENCE_ONLY","false","Not production transport; a managed endpoint still requires TASK-07 validation."
"COST-PUMP-001","Pump","pump-public-docs","Official public repository","Protocol docs and IDL reference","$0","repository access","Public repository","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","official_repo","2026-07-18","https://github.com/pump-fun/pump-public-docs","ADOPT_AS_REFERENCE","false","Pin commit/checksum later; no repository license was located during this atom, so do not assume code-reuse rights."
"COST-HELIUS-001","Helius","RPC/DAS/Enhanced/WSS","Free","Initial managed raw transport candidate","$0","month","1M monthly credits","RPC 10 RPS; DAS/Enhanced 2 RPS","Standard WebSocket methods","not_applicable_free_plan","not_applicable","free plan","official_docs","2026-07-18","https://www.helius.dev/docs/billing/plans","SHORTLIST_FOR_TASK07","false","No account or key created in TASK-01."
"COST-HELIUS-002","Helius","RPC/DAS/Enhanced/WSS","Developer","Measured-bottleneck upgrade candidate","$49","month","10M monthly credits","RPC 50 RPS; DAS/Enhanced 10 RPS","Standard WebSocket methods; devnet gRPC listed","crypto_direct","USDC on Solana","Manual renewal link available; optional wallet authorization exists but project default is manual only","official_docs","2026-07-18","https://www.helius.dev/docs/billing/plans","DEFER_UNTIL_MEASURED_BOTTLENECK","false","Crypto-payment evidence: https://www.helius.dev/docs/billing/pay-with-crypto."
"COST-HELIUS-003","Helius","RPC/DAS/Enhanced/WSS","Business","Future scale anchor","$499","month","100M monthly credits","RPC 200 RPS","Mainnet gRPC listed","crypto_direct","USDC on Solana","Manual renewal preferred; no autonomous wallet authorization","official_docs","2026-07-18","https://www.helius.dev/docs/billing/plans","EXCLUDED_INITIAL","false","Premature before free-tier measurement and positive research evidence."
"COST-HELIUS-004","Helius","RPC/DAS/Enhanced/WSS","Professional","Future scale anchor","$999","month","200M monthly credits","RPC 500 RPS","Mainnet gRPC listed","crypto_direct","USDC on Solana","Manual renewal preferred; no autonomous wallet authorization","official_docs","2026-07-18","https://www.helius.dev/docs/billing/plans","EXCLUDED_INITIAL","false","Premature before free-tier measurement and positive research evidence."
"COST-JUPITER-001","Jupiter Developer Platform","Swap API v2","Keyless","Executable quote candidate without account","$0","month","Unlimited credits shown for keyless tier","0.5 RPS / 30 requests per minute","not_applicable","not_applicable_free_plan","not_applicable","free access","conflict","2026-07-18","https://developers.jup.ag/docs/portal/plans","TASK07_CONTROLLED_AUTH_RESOLUTION","false","Plans documents keyless access while Swap overview says all endpoints require x-api-key."
"COST-JUPITER-002","Jupiter Developer Platform","Swap API v2","Free","Executable quote candidate with API key","$0","month","Unlimited credits","1 RPS","not_applicable","not_applicable_free_plan","not_applicable","free plan","official_docs","2026-07-18","https://developers.jup.ag/docs/portal/plans","SHORTLIST_FOR_TASK07","false","Account/key state remains NOT_CREATED."
"COST-JUPITER-003","Jupiter Developer Platform","Swap API v2","Developer","Measured quote-throughput upgrade candidate","$25","month","25M credits","10 RPS","not_applicable","crypto_documented_processor","USDC on Solana via documented MoonPay flow","Monthly plan; checkout/renewal must be rechecked before purchase","official_docs","2026-07-18","https://developers.jup.ag/docs/portal/plans","DEFER_UNTIL_MEASURED_BOTTLENECK","false","Order/build cost one credit per request; execute is documented as zero credits."
"COST-JUPITER-004","Jupiter Developer Platform","Swap API v2","Launch","Future scale anchor","$100","month","100M credits","50 RPS","not_applicable","crypto_documented_processor","USDC on Solana via documented MoonPay flow","Monthly plan; checkout/renewal must be rechecked before purchase","official_docs","2026-07-18","https://developers.jup.ag/docs/portal/plans","EXCLUDED_INITIAL","false","Not justified until quote-panel demand is measured."
"COST-JUPITER-005","Jupiter Developer Platform","Swap API v2","Pro","Future scale anchor","$500","month","500M credits","150 RPS","not_applicable","crypto_documented_processor","USDC on Solana via documented MoonPay flow","Monthly plan; checkout/renewal must be rechecked before purchase","official_docs","2026-07-18","https://developers.jup.ag/docs/portal/plans","EXCLUDED_INITIAL","false","Not justified until quote-panel demand and alpha evidence are measured."
"COST-TRACKER-001","Solana Tracker","Data API","Free","Indexed discovery/enrichment comparison","€0","month","10,000 requests per month","3 RPS","No Datastream","not_applicable_free_plan","not_applicable","free plan","official_docs","2026-07-18","https://docs.solanatracker.io/pricing","SHORTLIST_FOR_TASK07","false","Paid upgrade payment rail is not stated in public docs."
"COST-TRACKER-002","Solana Tracker","Data API","Advanced","Possible measured upgrade","€50","month","200,000 requests per month","NOT_CAPTURED_THIS_ATOM","No Datastream","unknown","UNKNOWN","Recheck dashboard and payment rail before decision","official_dashboard_needed","2026-07-18","https://docs.solanatracker.io/pricing","DEFER_UNTIL_MEASURED_BOTTLENECK","false","Unknown payment rail receives no assumed crypto compatibility."
"COST-TRACKER-003","Solana Tracker","Data API","Pro","Future scale anchor","€200","month","1M requests per month","NOT_CAPTURED_THIS_ATOM","No Datastream","unknown","UNKNOWN","Recheck dashboard and payment rail before decision","official_dashboard_needed","2026-07-18","https://docs.solanatracker.io/pricing","EXCLUDED_INITIAL","false","No purchase before coverage and revision semantics are measured."
